Direction,FoodDirection,DangerLeft,DangerUp,DangerRight,DangerDown,DistanceToFood,Alive,Increase
down,none,False,False,False,False,6.0,True,False
down,none,False,False,False,False,5.0,True,False
down,none,False,False,False,False,4.0,True,False
down,none,False,False,False,True,3.0,True,False
right,none,False,False,False,True,2.0,True,False
right,right,False,False,False,True,1.0,True,False
right,none,False,False,False,True,0.0,True,True
up,none,False,False,False,False,36.0,True,False
left,none,False,False,False,True,35.0,True,False
up,none,False,False,False,False,34.0,True,False
up,none,False,False,False,False,33.0,True,False
left,none,True,False,False,False,32.0,True,False
up,none,True,False,False,False,31.0,True,False
up,none,False,False,False,False,30.0,True,False
up,none,False,False,False,False,29.0,True,False
up,none,False,False,False,False,28.0,True,False
left,none,False,False,False,False,27.0,True,False
left,none,False,False,False,False,26.0,True,False
up,none,False,False,False,False,25.0,True,False
left,none,False,False,False,False,24.0,True,False
left,none,False,False,False,False,23.0,True,False
left,none,False,False,False,False,22.0,True,False
left,none,False,False,False,False,21.0,True,False
up,none,False,False,False,False,20.0,True,False
left,none,False,False,False,False,19.0,True,False
up,none,False,False,False,False,18.0,True,False
up,none,False,False,False,False,17.0,True,False
left,none,False,False,False,False,16.0,True,False
up,none,False,False,False,False,15.0,True,False
left,none,False,False,False,False,14.0,True,False
left,none,False,False,False,False,13.0,True,False
left,none,False,False,False,False,12.0,True,False
left,none,False,False,False,False,11.0,True,False
left,none,False,False,False,False,10.0,True,False
left,none,False,False,False,False,9.0,True,False
left,none,False,False,False,False,8.0,True,False
left,none,False,False,False,False,7.0,True,False
left,none,False,False,False,False,6.0,True,False
left,none,False,False,False,False,5.0,True,False
left,none,False,False,False,False,4.0,True,False
left,none,False,False,False,False,3.0,True,False
left,none,False,False,False,False,2.0,True,False
left,left,False,False,False,False,1.0,True,False
left,none,False,False,False,False,0.0,True,True
left,none,False,False,False,False,7.0,True,False
up,none,False,False,False,False,6.0,True,False
up,none,False,False,False,False,5.0,True,False
up,none,False,False,False,False,4.0,True,False
up,none,False,False,False,False,3.0,True,False
left,none,False,False,False,False,2.0,True,False
left,left,False,False,False,False,1.0,True,False
left,none,False,False,False,False,0.0,True,True
up,none,False,False,False,False,15.0,True,False
right,none,False,False,False,True,14.0,True,False
up,none,False,False,False,False,13.0,True,False
up,none,False,False,False,False,12.0,True,False
up,none,False,False,False,False,11.0,True,False
up,none,False,False,False,False,10.0,True,False
right,none,False,False,False,False,9.0,True,False
up,none,False,False,False,False,8.0,True,False
up,none,False,False,False,False,7.0,True,False
right,none,False,False,False,False,6.0,True,False
right,none,False,False,False,False,5.0,True,False
right,none,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,right,False,False,False,False,1.0,True,False
right,none,False,False,False,False,0.0,True,True
down,none,False,False,False,False,23.0,True,False
left,none,False,True,False,False,22.0,True,False
left,none,False,True,False,False,21.0,True,False
left,none,False,True,False,False,20.0,True,False
down,none,False,False,False,False,19.0,True,False
down,none,False,False,False,False,18.0,True,False
down,none,False,False,False,False,17.0,True,False
down,none,False,False,False,False,16.0,True,False
down,none,False,False,False,False,15.0,True,False
down,none,False,False,False,False,14.0,True,False
down,none,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
down,none,False,False,False,False,11.0,True,False
down,none,False,False,False,False,10.0,True,False
down,none,False,False,False,False,9.0,True,False
down,none,False,False,False,False,8.0,True,False
down,none,False,False,False,False,7.0,True,False
down,none,False,False,False,False,6.0,True,False
down,none,False,False,False,False,5.0,True,False
down,none,False,False,False,False,4.0,True,False
down,none,False,False,False,False,3.0,True,False
down,none,False,False,False,False,2.0,True,False
down,down,False,False,False,False,1.0,True,False
down,none,False,False,False,False,0.0,True,True
left,none,False,False,False,False,14.0,True,False
up,none,False,False,True,False,13.0,True,False
left,none,False,False,False,False,12.0,True,False
left,none,False,False,False,False,11.0,True,False
left,none,False,False,False,False,10.0,True,False
left,none,False,False,False,False,9.0,True,False
up,none,False,False,False,False,8.0,True,False
up,none,False,False,False,False,7.0,True,False
up,none,False,False,False,False,6.0,True,False
up,none,False,False,False,False,5.0,True,False
up,none,False,False,False,False,4.0,True,False
up,none,False,False,False,False,3.0,True,False
up,none,False,False,False,False,2.0,True,False
up,up,False,False,False,False,1.0,True,False
up,none,False,False,False,False,0.0,True,True
up,none,False,False,False,False,14.0,True,False
up,none,False,False,False,False,13.0,True,False
right,none,False,False,False,False,12.0,True,False
right,none,False,False,False,False,11.0,True,False
up,none,False,False,False,False,10.0,True,False
up,none,False,False,False,False,9.0,True,False
right,none,False,False,False,False,8.0,True,False
up,none,False,False,False,False,7.0,True,False
up,none,False,False,False,False,6.0,True,False
up,none,False,False,False,False,5.0,True,False
up,none,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,right,False,False,False,False,1.0,True,False
right,none,False,False,False,False,0.0,True,True
down,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,14.0,True,False
down,none,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
down,none,False,False,False,False,11.0,True,False
down,none,False,False,False,False,10.0,True,False
right,none,False,False,False,False,9.0,True,False
down,none,False,False,False,False,8.0,True,False
right,none,False,False,False,False,7.0,True,False
right,none,False,False,False,False,6.0,True,False
down,none,False,False,False,False,5.0,True,False
right,none,False,False,False,False,4.0,True,False
down,none,False,False,False,False,3.0,True,False
down,none,False,False,False,False,2.0,True,False
down,down,False,False,False,False,1.0,True,False
down,none,False,False,False,False,0.0,True,True
right,none,False,False,False,False,5.0,True,False
right,none,False,False,False,False,4.0,True,False
up,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
up,up,False,False,False,False,1.0,True,False
up,none,False,False,False,False,0.0,True,True
left,none,False,False,False,False,18.0,True,False
left,none,True,False,False,False,17.0,True,False
up,none,True,False,False,False,16.0,True,False
up,none,False,False,False,False,15.0,True,False
left,none,True,False,False,True,14.0,True,False
up,none,False,False,False,False,13.0,True,False
up,none,False,False,False,False,12.0,True,False
left,none,False,False,False,False,11.0,True,False
up,none,False,False,False,False,10.0,True,False
left,none,False,False,False,False,9.0,True,False
up,none,False,False,False,False,8.0,True,False
up,none,False,False,False,False,7.0,True,False
left,none,False,False,False,False,6.0,True,False
left,none,False,False,False,False,5.0,True,False
left,none,False,False,False,False,4.0,True,False
left,none,False,False,False,False,3.0,True,False
left,none,False,False,False,False,2.0,True,False
left,left,False,False,False,False,1.0,True,False
left,none,False,False,False,False,0.0,True,True
down,none,False,False,False,False,44.0,True,False
right,none,False,True,False,False,43.0,True,False
right,none,False,True,False,False,42.0,True,False
right,none,False,True,False,False,41.0,True,False
down,none,False,False,False,False,40.0,True,False
down,none,False,False,False,False,39.0,True,False
down,none,False,False,False,False,38.0,True,False
down,none,False,False,False,False,37.0,True,False
down,none,False,False,False,False,36.0,True,False
down,none,False,False,False,False,35.0,True,False
down,none,False,False,False,False,34.0,True,False
right,none,False,False,False,False,33.0,True,False
down,none,False,False,False,False,32.0,True,False
right,none,False,False,False,False,31.0,True,False
down,none,False,False,False,False,30.0,True,False
down,none,False,False,False,False,29.0,True,False
down,none,False,False,False,False,28.0,True,False
down,none,False,False,False,False,27.0,True,False
right,none,False,False,False,False,26.0,True,False
right,none,False,False,False,False,25.0,True,False
down,none,False,False,False,False,24.0,True,False
down,none,False,False,False,False,23.0,True,False
down,none,False,False,False,False,22.0,True,False
right,none,False,False,False,False,21.0,True,False
down,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,19.0,True,False
down,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,16.0,True,False
down,none,False,False,False,True,15.0,True,False
right,none,False,False,False,True,14.0,True,False
right,none,False,False,False,True,13.0,True,False
right,none,False,False,False,True,12.0,True,False
right,none,False,False,False,True,11.0,True,False
right,none,False,False,False,True,10.0,True,False
right,none,False,False,False,True,9.0,True,False
right,none,False,False,False,True,8.0,True,False
right,none,False,False,False,True,7.0,True,False
right,none,False,False,False,True,6.0,True,False
right,none,False,False,False,True,5.0,True,False
right,none,False,False,False,True,4.0,True,False
right,none,False,False,False,True,3.0,True,False
right,none,False,False,False,True,2.0,True,False
right,right,False,False,False,True,1.0,True,False
right,none,False,False,False,True,0.0,True,True
up,none,False,False,False,False,31.0,True,False
up,none,False,False,False,False,30.0,True,False
left,none,False,False,False,False,29.0,True,False
up,none,False,False,False,False,28.0,True,False
left,none,False,False,False,False,27.0,True,False
left,none,False,False,False,False,26.0,True,False
up,none,False,False,False,False,25.0,True,False
up,none,False,False,False,False,24.0,True,False
up,none,False,False,False,False,23.0,True,False
up,none,False,False,False,False,22.0,True,False
left,none,False,False,False,False,21.0,True,False
